World,EU,Europe,Austria,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Lithuania,Norway,Poland,Portugal,Spain,UK
0,0,0,1,1,0,0,1,0,31,0,0,2,1,24,0,0,0
0,0,0,1,1,0,0,1,0,27,0,0,1,2,21,0,0,0
0,0,0,1,0,0,0,1,0,24,0,0,1,1,18,1,0,1
0,0,1,1,0,1,0,1,0,24,0,0,1,1,16,2,0,2
0,0,1,1,0,1,0,0,0,24,0,0,0,1,13,3,0,3
1,0,2,1,0,2,0,0,0,18,0,0,0,0,12,3,0,4
0,0,3,0,0,2,0,0,0,16,0,0,0,1,9,5,1,5
0,0,3,0,0,3,0,0,0,12,0,0,0,2,7,6,2,6
1,0,4,0,1,4,0,0,1,9,0,1,0,1,5,8,3,8
1,1,5,0,2,4,0,0,2,6,0,2,0,2,3,10,5,9
1,2,6,0,3,5,0,0,3,6,0,2,0,2,4,12,5,10
2,2,7,0,4,4,0,0,3,6,0,2,0,2,3,13,5,11
2,3,8,0,6,4,0,0,4,0,0,2,0,2,3,14,9,12
3,5,9,0,7,4,0,0,7,0,0,3,0,2,2,15,10,13
4,6,11,0,8,4,0,0,9,0,0,4,0,1,2,17,12,14
5,7,12,0,10,4,1,0,11,2,0,3,0,0,1,19,13,14
6,8,13,0,11,5,1,0,13,2,0,4,0,0,0,21,15,15
7,10,14,1,12,6,2,0,14,2,0,4,0,1,0,22,15,16
8,11,15,1,13,7,2,1,16,2,0,4,0,1,0,22,15,17
8,12,16,1,14,7,2,1,17,5,0,5,0,1,0,23,15,18
10,13,17,2,17,7,2,1,20,4,0,5,1,0,0,24,21,19
11,17,20,3,20,8,3,1,22,5,0,6,1,0,0,26,22,20
12,18,21,4,23,8,3,2,23,5,0,7,2,0,0,27,24,22
14,20,23,5,25,9,4,2,24,6,0,9,2,0,1,27,26,24
15,22,25,5,28,9,5,3,24,6,1,12,2,0,2,28,26,27
15,23,27,7,31,10,6,3,25,6,1,13,2,0,2,30,26,29
16,24,28,7,31,10,8,3,24,10,1,15,3,0,3,30,32,30
16,27,30,8,31,11,9,4,25,10,5,17,3,1,3,31,28,31
17,27,30,8,29,11,11,4,25,10,8,18,4,1,5,31,29,32
17,28,31,9,27,12,15,4,25,12,11,19,5,2,6,31,29,30
19,30,32,9,26,12,17,5,25,14,14,20,6,2,6,32,29,28
18,30,31,10,24,13,19,5,25,14,16,19,7,2,6,31,29,26
18,31,30,9,23,14,22,5,25,14,19,19,8,3,7,30,29,23
19,31,29,9,23,15,22,5,25,16,22,20,8,4,7,29,29,21
20,31,29,10,22,15,23,5,25,16,22,20,9,4,7,28,29,18
21,31,28,10,21,18,24,6,25,18,24,20,11,4,8,26,29,16
23,32,27,10,23,20,26,7,25,17,27,21,12,8,10,25,28,15
23,31,27,11,23,22,26,8,25,16,28,21,14,9,12,23,27,14
24,31,26,11,25,24,27,8,25,16,31,21,15,9,13,21,27,13
25,31,26,12,25,25,27,8,25,16,31,21,15,10,13,20,27,13
25,31,26,13,27,26,28,9,25,15,31,21,16,10,14,19,26,12
26,31,26,13,27,27,28,9,25,15,30,21,18,13,16,19,25,12
26,30,25,13,28,28,28,9,25,14,31,20,19,16,17,18,24,13
27,30,25,13,26,28,28,10,25,14,32,21,18,16,18,17,23,13
28,30,25,13,27,28,28,10,25,13,31,22,21,16,19,17,22,13
29,30,25,13,26,29,28,11,25,13,29,23,22,18,20,17,22,13
28,30,25,14,27,29,29,12,26,13,28,25,24,19,21,16,22,14
29,30,26,14,26,29,29,12,26,13,29,25,24,20,20,16,19,14
29,29,25,15,27,30,28,13,27,14,27,27,26,22,21,17,18,14
30,29,26,16,28,31,29,13,28,16,29,29,26,20,23,16,17,14
31,30,26,17,30,31,30,15,30,17,28,30,29,20,25,16,16,15
30,30,26,19,30,32,30,16,31,22,29,30,28,25,25,17,15,15
30,30,26,21,31,31,31,18,31,22,27,31,28,25,27,17,15,15
30,30,27,23,31,31,30,20,32,22,28,31,29,26,28,17,15,15
31,30,27,24,31,31,30,21,31,25,26,31,30,26,30,17,12,15
31,30,27,26,32,30,32,22,31,26,27,31,30,27,31,17,12,16
31,30,27,27,31,28,31,24,31,28,26,31,30,30,31,17,11,16
32,29,27,29,31,28,30,26,30,32,25,31,30,32,30,17,10,17
31,29,27,30,30,26,29,29,30,22,23,31,30,30,31,16,10,17
31,29,28,32,30,26,28,32,30,22,22,32,32,30,32,17,10,17
