World,EU,Europe,Austria,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Lithuania,Norway,Poland,Portugal,Spain,UK
0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,7
0,0,1,1,0,0,0,0,1,1,2,1,29,0,0,0,0,6
0,1,1,1,1,0,0,0,1,2,2,0,29,1,1,0,0,6
1,2,2,2,1,0,0,1,2,3,2,0,29,1,2,0,0,6
0,2,3,2,1,1,0,2,1,3,4,0,30,1,2,0,0,5
1,3,3,2,2,1,0,1,1,4,4,1,32,2,3,0,0,4
1,4,4,3,2,1,0,3,3,4,4,1,31,2,4,0,0,4
2,4,5,4,2,1,0,5,4,4,4,2,31,2,5,0,0,4
2,4,5,5,2,1,0,4,6,7,4,3,31,3,5,0,0,4
1,4,5,5,2,1,0,4,9,7,4,6,31,3,5,0,0,3
1,4,5,6,3,2,0,4,12,6,4,8,25,3,5,0,0,3
3,5,6,7,3,2,0,4,17,8,6,9,25,4,7,0,0,3
3,6,7,9,3,3,0,7,21,9,9,11,24,4,8,1,0,2
3,7,7,10,3,3,1,7,23,9,9,12,26,5,10,1,0,1
3,8,8,12,4,4,1,8,25,9,9,15,24,5,11,1,0,0
4,9,9,13,4,4,1,9,28,13,11,15,23,5,12,2,1,0
5,10,10,14,4,4,1,10,30,14,14,18,23,6,14,2,0,0
6,12,11,15,5,5,2,11,31,17,17,17,27,6,16,3,1,0
6,13,12,17,5,5,2,13,31,18,18,18,25,6,17,3,1,0
8,13,13,19,5,6,3,14,31,19,18,21,23,7,16,4,1,0
8,14,14,20,6,6,2,15,31,19,18,22,19,7,16,4,1,1
8,14,14,21,7,7,3,16,30,19,18,23,17,7,16,5,1,2
9,15,15,22,7,7,3,17,30,21,21,25,15,6,17,5,2,2
10,16,16,24,8,7,3,18,29,21,23,24,14,8,17,6,3,3
10,17,17,25,9,7,4,19,29,22,22,25,11,8,19,7,3,2
12,18,18,26,9,9,5,21,29,23,19,26,9,9,20,8,3,3
12,20,20,27,10,9,5,22,30,25,20,23,6,9,23,9,3,3
13,21,21,29,10,10,7,23,30,25,20,25,4,9,25,9,3,4
14,22,22,30,10,11,8,24,31,25,20,25,4,10,26,10,3,4
16,23,23,31,11,11,8,25,31,28,18,27,4,11,27,11,4,4
17,25,25,31,11,12,9,26,31,29,17,26,4,9,27,12,5,5
17,26,25,31,11,12,10,28,32,30,17,26,4,11,28,13,5,5
17,27,27,32,11,13,11,29,31,31,18,26,3,12,29,14,5,5
17,28,28,31,11,13,12,31,29,31,17,29,4,12,30,15,6,6
16,29,29,29,11,13,13,31,29,31,17,27,4,13,31,16,6,6
17,30,29,28,11,13,15,31,29,31,17,26,4,13,31,17,6,5
17,30,29,27,12,14,16,31,28,32,15,24,3,14,31,17,7,5
18,30,29,24,12,14,16,31,27,31,13,27,3,16,31,17,7,5
18,31,30,24,12,15,18,32,26,31,13,27,2,15,31,18,8,5
20,31,30,22,12,15,19,31,26,30,13,26,2,17,31,18,9,6
22,31,30,20,13,16,21,31,25,29,13,27,2,18,31,17,9,6
23,31,30,18,13,16,22,31,24,29,13,29,2,19,31,20,9,6
24,32,30,16,13,17,24,31,24,29,13,31,3,19,31,21,9,7
23,31,31,14,12,17,25,30,22,26,12,28,2,18,31,22,6,7
24,30,29,12,14,18,25,27,21,25,12,29,4,22,32,22,11,8
23,31,31,11,15,16,26,30,21,23,11,29,4,23,31,23,9,8
24,30,29,9,16,18,27,25,20,21,12,29,3,25,31,24,11,8
23,30,30,7,17,19,28,28,18,19,11,27,2,26,31,25,11,9
23,30,29,6,18,19,28,27,18,19,11,24,1,26,30,25,11,9
23,29,29,5,19,20,29,26,18,19,11,23,1,28,30,25,11,10
23,29,28,4,21,21,29,25,16,16,13,26,2,26,29,25,19,10
23,30,29,3,21,22,29,27,15,15,15,24,0,29,29,25,16,11
24,28,28,3,22,26,29,23,13,15,15,24,0,29,28,26,20,14
24,29,29,2,23,25,30,26,12,14,16,24,1,29,27,27,21,17
25,28,29,2,25,26,30,21,12,13,18,23,1,28,25,28,23,20
26,27,29,1,27,27,30,17,11,13,18,28,1,28,24,28,23,23
27,28,30,1,29,28,31,19,11,13,18,29,0,28,23,29,23,26
29,27,31,0,30,30,31,17,11,9,27,29,0,32,23,29,28,29
32,27,32,0,32,32,32,16,11,9,32,32,0,26,22,32,32,32
