25,8,7
26,9,7
27,9,7
27,9,8
28,9,8
28,9,9
28,10,10
28,10,11
28,10,12
29,11,12
29,11,13
29,12,14
29,13,14
29,13,14
29,14,15
29,15,15
29,16,16
28,18,16
28,19,17
27,19,19
25,19,20
26,20,20
25,20,20
24,20,20
24,21,20
24,22,21
26,24,22
27,25,22
28,27,23
29,29,24
29,30,25
30,31,26
30,31,27
30,31,28
32,32,29
32,32,31
32,32,32
32,32,32
32,30,32
32,29,31
31,29,31
30,28,29
29,27,27
28,25,26
27,25,25
26,24,24
25,23,22
24,22,21
23,21,20
23,20,20
22,20,19
22,19,17
22,18,17
21,17,15
21,16,14
20,15,13
20,14,11
19,14,10
19,13,10
19,13,9
18,13,8
17,12,7
17,11,7
16,11,6
16,10,6
15,10,6
14,10,5
14,9,5
14,9,5
13,8,5
13,8,4
12,8,4
12,7,4
11,7,4
10,7,4
10,7,4
9,7,4
9,7,3
