18,7,17,19
18,7,20,20
18,6,24,27
18,6,21,25
19,6,21,24
19,6,19,22
19,6,20,23
19,6,18,22
19,6,19,22
19,7,22,27
18,7,19,22
18,7,19,25
18,7,18,24
19,7,21,24
19,7,20,25
19,7,20,26
19,7,19,25
18,7,18,22
18,6,20,21
18,6,19,23
18,7,18,24
18,7,20,25
19,7,20,25
18,6,23,21
18,6,24,20
18,6,21,20
16,6,23,20
17,6,23,22
17,6,21,24
18,6,25,26
17,5,20,22
16,5,19,18
16,5,18,17
16,5,18,18
22,5,18,20
22,5,16,20
23,5,18,23
23,6,18,21
21,6,18,16
20,6,20,16
21,6,18,18
19,6,18,19
20,6,20,21
22,6,20,23
21,6,18,22
19,6,22,19
19,6,17,18
19,6,18,18
18,6,20,18
20,6,17,21
22,6,18,23
20,6,22,18
17,6,21,17
17,6,21,17
17,6,19,19
17,6,22,19
17,6,22,19
20,6,22,22
20,5,20,21
17,6,21,20
17,6,20,16
16,6,20,18
17,6,21,18
19,6,20,19
21,6,20,21
16,6,19,19
12,6,19,18
13,6,20,17
11,5,19,17
14,5,19,18
16,6,20,19
18,6,19,20
16,6,21,20
13,6,22,18
13,6,22,18
13,6,22,18
16,6,22,18
16,6,21,19
17,6,22,21
16,9,19,21
12,9,20,18
13,9,20,19
13,9,19,19
13,9,20,19
15,9,20,20
18,9,20,21
16,10,23,21
12,9,23,19
14,9,24,19
13,10,24,20
15,10,23,20
14,10,24,21
18,10,24,21
17,11,23,22
12,10,24,21
14,11,23,20
13,11,24,20
13,11,24,20
14,11,24,22
18,10,24,22
17,14,21,24
12,13,21,20
13,14,22,21
13,14,22,20
12,14,22,22
15,14,22,22
17,14,22,23
16,17,24,25
12,16,24,22
12,17,24,22
12,16,24,22
14,17,24,22
16,16,24,22
17,17,24,25
16,17,19,25
12,16,19,22
12,11,19,21
12,17,18,22
13,15,18,22
14,15,19,23
18,17,19,25
17,12,22,22
13,14,22,21
13,13,21,20
13,12,21,21
12,14,22,22
15,14,22,22
18,13,22,26
18,12,20,25
12,9,21,21
12,9,21,20
13,10,20,21
14,10,21,20
16,10,21,22
18,11,21,24
16,9,22,25
13,10,23,22
14,8,23,19
13,8,23,22
15,8,23,21
17,10,23,22
18,10,23,24
16,10,22,24
12,8,22,20
14,9,22,20
13,9,22,21
15,9,22,21
16,10,22,22
19,10,22,24
17,9,21,23
13,8,21,19
14,8,21,19
15,8,21,19
16,8,21,20
16,7,21,20
19,9,21,23
18,8,23,22
12,8,23,19
12,8,23,19
14,7,23,19
14,8,23,19
16,8,23,20
17,8,23,22
18,7,22,22
17,7,23,21
12,7,23,18
13,7,22,19
14,7,23,18
15,8,22,20
18,8,22,22
17,7,26,22
13,6,27,17
13,7,27,19
14,7,26,19
14,7,27,19
16,7,27,20
18,8,26,23
17,8,20,22
15,7,20,19
14,7,20,19
15,7,20,20
14,8,20,20
15,8,20,20
18,8,20,23
18,5,22,21
14,6,22,18
13,6,22,18
15,5,22,18
16,7,22,19
16,7,21,19
18,7,21,21
18,9,17,22
14,8,16,21
15,7,18,20
15,7,17,19
16,7,18,19
17,8,17,21
18,8,17,22
19,9,21,21
18,8,21,19
15,8,22,18
14,8,21,19
16,9,22,18
17,9,21,19
19,9,22,21
18,9,25,22
16,7,26,19
16,8,26,18
17,8,25,20
16,9,26,19
18,9,26,19
19,9,26,22
18,8,18,22
17,8,20,20
17,8,18,20
16,8,20,20
16,8,19,19
18,8,20,20
19,7,20,22
19,9,22,25
18,8,21,19
16,9,22,22
16,8,21,22
19,8,20,22
19,9,22,22
19,9,21,25
19,10,23,24
19,9,24,21
16,10,24,21
